gene	BulkHC1	BulkHC2	BulkHC3	BulkHC4	BulkSOR1	BulkSOR2	BulkSOR3	BulkSOR4
ENSMUSG00000037070	2098.90	2766.98	2050.28	3022.91	2615.45	2122.24	2438.19	1853.94
ENSMUSG00000037071	7003.48	8990.79	7230.71	10581.55	9236.13	7238.49	7385.61	6621.96
ENSMUSG00000037072	4303.85	5896.78	4443.65	6570.50	5921.25	4294.23	4373.05	3870.61
ENSMUSG00000037075	2104.66	2888.24	2145.17	3165.27	2904.13	2188.32	2531.78	1786.55
ENSMUSG00000037085	702.50	927.45	583.80	1113.28	768.96	709.90	725.70	562.90
ENSMUSG00000037086	101.37	2.01	3.12	91.86	421.99	60.25	72.49	4.00
ENSMUSG00000037089	802.21	1095.52	892.60	1290.12	1082.35	779.26	876.04	863.39
ENSMUSG00000037095	9.59	14.56	18.02	13.14	23.01	4.83	18.07	17.03
ENSMUSG00000037096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037098	3224.19	4099.26	3213.11	4548.49	4502.77	3486.66	4385.05	3063.13
ENSMUSG00000037101	36.80	134.06	57.35	81.18	62.58	30.51	40.89	26.55
ENSMUSG00000037103	371.23	485.09	384.79	594.36	375.21	363.01	393.89	269.98
ENSMUSG00000037104	3565.47	4949.84	4040.69	5646.56	5329.97	4007.36	4759.91	3721.32
ENSMUSG00000037106	4.93	10.04	4.28	5.96	13.16	11.78	8.41	6.02
ENSMUSG00000037108	279.96	345.90	235.94	380.18	265.28	247.01	256.53	221.01
ENSMUSG00000037110	3024.71	4022.94	3311.02	4335.51	3761.16	3410.77	3342.93	2629.84
ENSMUSG00000037111	10186.33	12740.43	10806.34	15055.69	14314.36	11280.24	12985.10	10289.95
ENSMUSG00000037112	1691.75	1953.12	1547.48	2222.50	2505.67	2144.69	2555.02	1702.09
ENSMUSG00000037119	3462.90	4280.43	3418.65	4859.54	5208.48	3511.79	3997.13	3024.33
ENSMUSG00000037124	2.85	6.95	6.06	3.00	2.07	2.93	6.99	2.00
ENSMUSG00000037126	16540.05	22679.99	19048.60	25754.96	25542.20	16558.96	20224.52	17376.13
ENSMUSG00000037129	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037134	1128.59	1476.29	1090.17	1571.97	1424.21	1113.86	1317.90	1047.94
ENSMUSG00000037138	2475.76	3260.61	2448.34	3552.61	3540.34	2714.12	3224.38	2168.91
ENSMUSG00000037139	98.20	157.42	123.88	128.00	102.43	61.77	96.48	55.13
ENSMUSG00000037140	8.50	8.06	4.18	9.80	13.53	3.89	10.78	1.98
ENSMUSG00000037143	131.15	154.57	79.20	164.30	247.79	145.75	111.84	71.98
ENSMUSG00000037145	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037148	770.97	930.33	805.32	1060.47	1043.78	773.49	1025.00	728.85
ENSMUSG00000037149	8313.74	10882.99	7839.48	11485.71	11219.93	8447.95	9104.28	6754.31
ENSMUSG00000037151	1082.84	1354.03	1122.15	1644.64	1511.35	1028.08	1192.04	991.65
ENSMUSG00000037152	624.07	815.63	620.49	960.15	836.29	615.35	517.83	690.67
ENSMUSG00000037157	0.00	2.00	0.00	3.92	1.04	1.96	2.97	0.00
ENSMUSG00000037159	0.90	6.84	1.98	3.80	9.86	2.80	8.54	0.00
ENSMUSG00000037161	1.78	0.00	0.95	8.10	1.94	2.75	0.93	0.94
ENSMUSG00000037166	625.75	1128.67	870.90	1058.61	870.32	689.20	622.76	743.23
ENSMUSG00000037167	0.00	1.00	0.00	2.94	0.00	1.97	0.00	0.00
ENSMUSG00000037169	237.96	352.96	234.46	365.76	316.76	222.88	240.06	218.58
ENSMUSG00000037171	28.32	17.99	33.71	17.85	19.93	21.36	36.74	13.87
ENSMUSG00000037172	5228.75	6508.30	5027.00	7004.92	7208.96	5495.63	6260.07	4824.23
ENSMUSG00000037174	3718.34	5043.64	3517.06	5405.76	5568.58	3734.69	4227.12	3193.97
ENSMUSG00000037185	16.41	17.92	8.66	21.80	10.18	19.70	14.83	14.52
ENSMUSG00000037188	19.77	32.11	46.17	56.15	42.51	18.48	40.52	19.10
ENSMUSG00000037190	447.90	576.51	438.41	610.80	784.86	612.64	391.49	346.53
ENSMUSG00000037196	271.24	432.95	301.23	474.05	388.62	300.99	318.04	295.25
ENSMUSG00000037197	3265.37	4071.22	3136.98	4210.40	4420.42	3099.22	3434.41	2589.99
ENSMUSG00000037202	1.77	1.10	2.20	0.91	11.32	0.00	0.00	4.56
ENSMUSG00000037204	1300.08	1716.07	1458.78	1911.30	1784.07	1331.73	1532.51	1231.75
ENSMUSG00000037206	454.91	475.93	382.66	640.36	652.43	387.32	370.36	444.75
ENSMUSG00000037210	2742.98	3444.84	3081.73	4652.95	3965.16	3075.16	3483.03	2955.74
ENSMUSG00000037211	421.67	554.64	440.04	605.57	608.66	330.33	397.32	396.67
ENSMUSG00000037214	367.01	469.44	311.13	591.02	678.68	398.66	472.41	333.88
ENSMUSG00000037216	164.77	236.33	142.64	257.04	292.41	154.21	233.29	160.02
ENSMUSG00000037217	3052.73	4439.82	3079.09	4529.21	3591.44	3432.44	5010.40	3073.12
ENSMUSG00000037221	57.18	60.55	61.06	83.55	46.37	54.96	66.05	38.11
ENSMUSG00000037224	1369.21	1804.49	1309.98	1980.22	1651.72	1337.66	1677.78	1303.54
ENSMUSG00000037225	643.27	673.66	481.09	690.74	572.56	561.38	579.24	543.48
ENSMUSG00000037234	9527.03	12070.79	9134.22	13096.01	12762.84	10396.23	12017.30	8440.88
ENSMUSG00000037235	3123.86	4064.52	3220.74	4858.63	5079.74	3300.88	4325.33	3791.93
ENSMUSG00000037236	31746.76	43110.23	33298.42	45814.18	43378.44	32547.65	35997.40	29146.54
ENSMUSG00000037239	1058.73	1388.39	1221.93	1704.35	1467.64	1161.52	1524.40	1062.80
ENSMUSG00000037242	5324.17	6299.83	5240.56	7702.97	6553.03	5067.54	5378.93	5323.91
ENSMUSG00000037243	346.31	487.81	429.22	568.83	405.43	388.50	543.88	338.06
ENSMUSG00000037246	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037247	0.00	1.00	0.00	0.00	1.04	0.97	0.00	0.00
ENSMUSG00000037251	1585.42	2316.37	1835.91	2580.39	2242.41	1591.14	1828.73	1507.06
ENSMUSG00000037253	2373.50	3023.33	2404.60	3494.84	3943.10	2514.12	3056.07	2338.96
ENSMUSG00000037254	137.48	97.87	156.77	206.65	264.54	187.62	129.92	120.64
ENSMUSG00000037257	4361.47	5678.19	4739.46	6034.35	6448.88	4625.82	5071.94	4406.84
ENSMUSG00000037259	5139.08	6701.65	4517.23	7597.95	5776.63	5388.70	6099.00	4293.84
ENSMUSG00000037260	1742.65	2458.01	2007.59	2920.59	2354.39	2010.35	2131.40	1659.44
ENSMUSG00000037262	605.09	773.49	628.42	915.88	853.07	680.20	747.60	576.98
ENSMUSG00000037263	3.14	1.65	0.00	17.04	1.70	0.81	2.45	0.00
ENSMUSG00000037266	5064.87	6739.71	3988.60	5824.74	4482.96	4085.03	6296.87	3211.80
ENSMUSG00000037270	14163.36	18162.24	13755.55	20425.73	18236.94	15164.91	17568.04	12112.20
ENSMUSG00000037275	1138.36	1861.36	1650.99	1748.89	2004.06	1308.06	1530.13	1233.77
ENSMUSG00000037278	328.21	480.59	326.51	536.36	476.27	371.45	430.18	348.69
ENSMUSG00000037279	52.22	55.70	38.44	43.19	49.99	32.56	101.89	67.52
ENSMUSG00000037280	980.29	1303.73	1131.65	1497.74	1074.67	973.21	947.83	964.29
ENSMUSG00000037286	4889.69	7105.48	4775.60	7232.03	7405.32	4393.41	5704.67	4736.86
ENSMUSG00000037287	2684.62	3382.72	2578.28	3968.92	4212.46	2658.64	3011.76	2544.07
ENSMUSG00000037295	209.51	217.70	176.34	263.09	222.18	152.47	221.79	136.39
ENSMUSG00000037296	762.13	952.66	760.48	948.06	1088.79	739.01	898.86	690.20
ENSMUSG00000037300	2160.25	3002.14	2375.62	3275.85	2861.96	2281.33	2607.65	2002.75
ENSMUSG00000037306	636.53	809.17	776.95	926.99	857.01	675.76	826.31	627.74
ENSMUSG00000037307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037313	154.93	194.36	114.09	191.54	135.64	149.96	182.42	100.98
ENSMUSG00000037315	662.16	792.33	598.30	977.49	833.72	858.06	746.88	683.85
ENSMUSG00000037316	5354.27	7325.26	5836.00	8120.49	7064.56	5598.62	6528.58	5329.57
ENSMUSG00000037318	32.11	84.81	55.05	45.33	21.93	51.68	40.13	50.90
ENSMUSG00000037321	121.83	184.35	118.16	181.49	167.27	73.34	98.96	108.24
ENSMUSG00000037325	1394.38	1663.93	1391.50	1894.15	1818.17	1398.52	1349.60	1260.38
ENSMUSG00000037326	1152.34	1507.20	1192.72	1714.28	1685.89	1190.98	1524.68	1252.57
ENSMUSG00000037331	3800.53	5173.83	4055.61	5519.04	5078.43	4213.47	5144.97	4034.95
ENSMUSG00000037334	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037335	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037336	23.11	53.37	28.02	52.00	75.75	92.90	34.99	55.59
ENSMUSG00000037337	28.43	34.98	32.71	35.24	56.95	36.80	48.09	23.99
ENSMUSG00000037339	1140.53	1469.35	1224.79	1767.82	1633.77	1290.72	1350.26	1196.89
ENSMUSG00000037341	1990.95	2510.68	2027.35	2849.54	2588.96	1888.43	2225.22	1757.09
ENSMUSG00000037343	2243.06	2362.45	2172.78	3221.61	3267.94	2513.53	2680.68	2192.58
ENSMUSG00000037344	615.63	758.01	585.62	930.23	653.29	506.47	683.86	486.26
ENSMUSG00000037346	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037347	115.89	114.01	107.49	118.66	112.48	118.05	103.85	99.36
ENSMUSG00000037348	2546.30	3485.80	2627.40	3802.99	3987.66	2717.08	3247.54	2276.11
ENSMUSG00000037349	178.08	201.54	210.33	275.00	243.25	137.73	182.40	120.79
ENSMUSG00000037351	9525.83	12734.24	9782.68	14825.75	12184.66	9927.15	11895.56	9530.40
ENSMUSG00000037353	1586.62	2488.49	1872.71	2770.89	2419.72	1851.75	2147.98	1648.61
ENSMUSG00000037355	721.55	934.27	717.01	1163.20	652.81	685.41	809.26	621.92
ENSMUSG00000037358	34.35	39.72	37.31	88.04	65.37	52.36	42.49	23.23
ENSMUSG00000037361	1679.06	2466.46	1729.78	2491.73	2470.05	1806.75	2071.43	1727.25
ENSMUSG00000037362	4376.70	6356.65	5280.73	7373.47	6158.13	4230.36	5924.91	4397.78
ENSMUSG00000037363	401.88	709.71	583.58	935.69	679.20	426.39	640.50	559.44
ENSMUSG00000037364	4238.19	5894.34	4420.23	5882.91	5811.46	4442.64	5345.96	4014.23
ENSMUSG00000037366	181.45	220.18	176.49	247.14	387.14	267.19	213.27	206.83
ENSMUSG00000037369	1928.30	2738.80	2024.12	2898.11	2480.13	1801.28	2087.59	1644.37
ENSMUSG00000037370	277.93	437.02	308.05	453.74	471.59	278.38	247.67	310.16
ENSMUSG00000037373	5657.81	7350.45	6116.52	8412.19	8073.51	5952.40	6623.52	5206.15
ENSMUSG00000037375	84.16	127.55	65.72	171.32	101.23	87.83	85.11	88.98
ENSMUSG00000037376	1363.24	1854.13	1417.44	2179.76	1623.89	1317.63	1597.13	1255.76
ENSMUSG00000037379	6.19	0.00	1.11	5.36	9.87	5.08	7.88	2.15
ENSMUSG00000037386	7907.53	9833.38	7176.44	10742.15	8354.35	6745.57	9439.56	6390.85
ENSMUSG00000037390	0.00	2.32	1.41	0.00	0.00	1.35	0.00	0.00
ENSMUSG00000037393	3.81	2.02	4.13	6.81	1.05	3.89	3.95	2.95
ENSMUSG00000037395	1568.35	2087.63	1685.36	2448.46	1881.74	1692.20	1865.93	1409.91
ENSMUSG00000037400	2544.70	3365.19	2532.90	3992.48	2872.07	2578.54	3304.17	2225.16
ENSMUSG00000037405	83.03	93.42	66.97	127.37	101.15	83.54	76.37	67.25
ENSMUSG00000037406	144.56	220.08	225.09	237.64	143.17	150.42	177.48	150.41
ENSMUSG00000037408	626.36	729.74	644.36	926.21	838.35	641.12	957.28	746.00
ENSMUSG00000037410	580.38	541.99	492.27	714.53	641.80	575.51	827.01	498.43
ENSMUSG00000037411	21.26	21.65	16.41	16.41	39.11	16.65	28.74	42.13
ENSMUSG00000037415	1130.59	1365.66	1201.14	1551.62	1667.26	1278.81	1454.67	1208.93
ENSMUSG00000037416	9020.18	11329.52	8880.85	12425.91	13254.78	9601.42	11015.96	8295.79
ENSMUSG00000037418	26.72	40.11	31.16	62.07	34.97	46.45	20.80	56.72
ENSMUSG00000037419	4330.47	6092.51	4841.19	7295.55	6774.52	4758.57	5321.01	4711.23
ENSMUSG00000037424	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037426	3280.62	4467.17	3633.98	5127.28	4839.34	3553.02	4203.44	3310.52
ENSMUSG00000037428	1303.57	1846.32	1417.22	1958.15	2020.88	1586.87	2176.68	1672.36
ENSMUSG00000037432	97.84	142.34	75.20	127.19	166.07	120.20	123.63	76.17
ENSMUSG00000037434	1770.79	2225.51	1891.43	2552.39	2265.17	1541.94	1908.00	1640.10
ENSMUSG00000037437	58.94	79.04	74.41	97.34	59.70	78.23	64.30	46.10
ENSMUSG00000037438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037440	5.70	6.02	9.29	13.77	10.30	5.83	4.94	2.00
ENSMUSG00000037443	886.99	1233.72	848.16	1264.62	1607.38	1057.51	1019.87	1131.04
ENSMUSG00000037446	0.00	7.43	3.16	4.87	5.18	3.07	0.00	1.62
ENSMUSG00000037447	548.45	579.35	651.47	854.68	934.91	759.63	850.29	764.10
ENSMUSG00000037451	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037455	393.36	589.83	505.12	858.46	760.60	635.45	732.76	494.61
ENSMUSG00000037458	8224.22	11808.27	9093.37	13506.19	12981.40	8337.29	9402.88	8150.70
ENSMUSG00000037461	1330.88	1803.10	1338.05	1897.98	1545.69	1268.93	1437.07	1177.28
ENSMUSG00000037463	235.75	303.36	352.85	411.42	287.43	219.15	360.21	276.52
ENSMUSG00000037465	1232.93	1677.73	1279.93	2210.28	2086.30	1661.35	2293.38	1669.37
ENSMUSG00000037466	35.11	40.41	28.90	37.15	36.34	69.00	51.23	22.86
ENSMUSG00000037469	21.20	36.72	22.36	37.87	32.72	19.79	33.42	32.41
ENSMUSG00000037470	3689.67	5516.41	3523.76	6788.51	7717.58	4649.83	5375.65	4594.39
ENSMUSG00000037474	85.30	87.66	89.99	121.36	76.68	67.64	104.01	95.27
ENSMUSG00000037475	5438.98	7520.95	5773.83	7735.28	7175.12	5651.70	5719.03	4287.96
ENSMUSG00000037477	4.69	1.00	2.05	3.94	4.25	0.98	4.94	1.97
ENSMUSG00000037482	0.95	0.00	5.20	0.98	0.00	0.00	0.98	4.00
ENSMUSG00000037486	2618.62	3504.36	2547.75	3772.17	3397.53	2527.22	3133.86	2061.82
ENSMUSG00000037487	13865.14	16954.62	14198.72	19722.78	18321.18	14901.78	17583.32	12739.36
ENSMUSG00000037490	613.07	308.01	311.50	798.36	2022.07	497.53	544.45	242.41
ENSMUSG00000037492	3219.97	4438.05	3163.35	4376.07	3887.64	3075.16	3849.27	2716.52
ENSMUSG00000037493	374.65	486.80	375.91	547.41	479.47	355.81	425.41	297.42
ENSMUSG00000037499	1479.18	1909.68	1560.44	2371.46	2062.20	1462.62	1766.29	1389.10
ENSMUSG00000037503	10770.58	15646.88	11429.22	17868.07	15485.81	12222.36	13325.79	12208.38
ENSMUSG00000037509	11461.48	15071.58	11641.02	16927.40	15439.40	11001.03	13259.21	11009.08
ENSMUSG00000037514	2487.94	3405.26	2464.31	3440.12	3501.31	2396.79	2793.42	2002.80
ENSMUSG00000037519	2691.78	3910.79	1795.37	4567.66	2204.03	1622.08	3269.80	1591.98
ENSMUSG00000037523	328.49	389.09	322.25	492.14	625.96	397.32	382.53	357.96
ENSMUSG00000037525	255.63	400.21	312.79	395.13	283.28	262.42	367.06	249.39
ENSMUSG00000037526	671.11	916.60	986.17	1132.59	1171.12	636.24	937.08	705.80
ENSMUSG00000037529	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00
ENSMUSG00000037531	684.33	653.99	724.55	898.29	825.91	575.74	631.66	564.92
ENSMUSG00000037533	3872.43	5032.95	3897.33	5082.77	4568.10	3213.75	4273.84	2901.51
ENSMUSG00000037535	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037536	4384.37	6366.46	4795.24	6960.82	5536.99	4281.56	5068.53	3910.58
ENSMUSG00000037537	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037541	5087.82	6865.78	5783.61	7957.12	6973.67	5343.61	7043.13	5164.01
ENSMUSG00000037542	4.45	1.91	1.95	9.28	5.12	6.49	7.28	2.81
ENSMUSG00000037544	12.92	41.90	19.07	23.18	27.81	14.99	44.99	29.12
ENSMUSG00000037548	17.91	16.45	32.38	29.24	15.95	39.77	34.87	14.57
ENSMUSG00000037552	57.30	61.11	89.89	154.01	136.66	61.05	87.83	90.27
ENSMUSG00000037553	480.39	797.03	545.09	959.78	947.31	819.06	1039.34	586.33
ENSMUSG00000037563	1939.58	3034.09	2150.17	3244.63	3605.66	1957.23	2544.55	2043.34
ENSMUSG00000037568	85.42	143.81	114.46	140.06	102.16	128.62	124.60	84.11
ENSMUSG00000037570	2327.12	3172.93	2574.38	3818.03	2927.53	2099.15	2694.54	2225.31
ENSMUSG00000037572	324.00	477.85	460.28	677.53	486.42	388.72	474.90	452.69
ENSMUSG00000037573	1175.12	1589.94	1238.98	1870.30	1629.14	1220.73	1347.41	1081.95
ENSMUSG00000037577	9.83	8.67	3.93	9.37	4.06	5.06	6.12	2.56
ENSMUSG00000037578	32.21	67.11	41.86	55.28	62.84	30.31	42.54	67.23
ENSMUSG00000037579	1719.06	2426.08	1588.87	2402.29	2108.94	1717.76	2267.18	1669.17
ENSMUSG00000037580	87.21	87.93	93.08	93.11	114.52	75.71	102.62	67.67
ENSMUSG00000037583	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037593	114.93	191.12	181.12	198.01	121.69	116.13	265.74	128.83
ENSMUSG00000037594	302.61	371.83	284.18	361.86	552.72	300.62	307.87	295.03
ENSMUSG00000037600	5.05	10.59	7.76	21.59	15.12	11.27	10.00	12.33
ENSMUSG00000037601	2983.03	4069.31	3223.96	4861.73	4274.11	2954.78	3348.59	3037.94
ENSMUSG00000037603	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037605	11304.17	14116.90	9251.62	14406.58	13086.39	11182.76	12672.99	9239.58
ENSMUSG00000037606	672.74	884.53	464.48	930.81	851.29	532.75	744.51	479.93
ENSMUSG00000037608	15261.54	19780.40	14380.76	21148.87	18606.65	14891.38	16867.70	13347.63
ENSMUSG00000037610	162.48	202.36	150.17	513.71	205.43	207.37	212.86	165.17
ENSMUSG00000037613	16.76	20.51	3.41	5.59	11.61	5.45	10.17	14.73
ENSMUSG00000037617	811.33	1187.97	779.11	1164.00	1198.80	922.79	1004.50	781.13
ENSMUSG00000037621	80.86	61.40	72.99	101.88	222.91	114.62	119.41	85.50
ENSMUSG00000037622	1846.17	2610.15	2166.46	3154.97	2982.33	2097.86	2589.93	2324.19
ENSMUSG00000037624	1152.11	1477.68	1200.32	1838.03	1409.45	1106.29	1416.81	1122.16
ENSMUSG00000037625	6527.69	9139.55	7092.99	9586.71	8489.89	6372.67	6397.80	6618.64
ENSMUSG00000037627	147.68	197.49	132.39	181.06	163.86	118.45	128.23	124.10
ENSMUSG00000037628	19.73	17.17	17.50	34.93	24.19	22.46	47.69	11.29
ENSMUSG00000037636	11.08	13.65	11.05	15.68	21.85	11.67	19.58	7.53
ENSMUSG00000037638	16.89	15.06	10.99	25.17	22.73	30.26	18.55	25.12
ENSMUSG00000037640	1934.28	2529.57	1953.07	2871.60	2699.90	2084.59	2339.52	2020.68
ENSMUSG00000037643	3721.84	5094.53	3119.34	5365.86	5085.53	3238.13	3562.03	3182.55
ENSMUSG00000037646	9922.89	13499.00	10344.93	14998.08	12695.74	10885.85	12079.06	8928.64
ENSMUSG00000037649	326.55	505.86	356.16	501.91	527.04	370.44	320.66	354.02
ENSMUSG00000037652	4602.83	5549.44	4445.55	6304.68	5606.98	5002.29	5639.59	4136.65
ENSMUSG00000037653	297.74	429.75	311.12	477.75	418.57	377.41	431.71	306.15
ENSMUSG00000037656	2046.71	2825.30	2272.14	3084.76	3506.61	2005.65	2527.62	2030.15
ENSMUSG00000037660	2.14	0.94	0.97	10.33	4.66	5.86	6.14	3.13
ENSMUSG00000037661	62.69	78.03	54.98	93.47	57.80	58.04	88.08	42.79
ENSMUSG00000037664	357.88	188.18	93.57	454.78	897.24	294.41	191.30	122.56
ENSMUSG00000037669	1505.99	2135.86	1532.29	2511.33	2755.24	1874.79	1894.09	1754.79
ENSMUSG00000037674	1586.01	1941.02	1583.12	1959.89	1835.06	1483.10	2020.92	1252.39
ENSMUSG00000037679	1499.00	2019.42	1514.13	2071.66	1771.38	1559.80	1736.30	1640.47
ENSMUSG00000037681	196.71	100.26	71.73	79.59	81.52	58.76	84.15	69.27
ENSMUSG00000037683	108.10	109.46	97.91	123.38	133.28	77.32	73.02	61.84
ENSMUSG00000037685	19385.48	26425.99	21168.74	28760.41	25129.71	20866.35	23634.46	18391.40
ENSMUSG00000037686	62.85	58.34	67.72	71.56	74.10	46.00	70.64	33.56
ENSMUSG00000037689	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037692	871.65	1222.61	917.47	1239.25	1048.94	790.49	1317.00	947.74
ENSMUSG00000037697	3916.56	5034.55	3950.61	5672.27	4950.10	3866.66	4552.31	3516.92
ENSMUSG00000037703	9009.25	11923.62	10556.82	14032.87	12829.08	9880.09	11658.08	9258.00
ENSMUSG00000037705	18.03	30.41	12.95	25.76	13.73	4.76	13.56	7.82
ENSMUSG00000037706	12862.06	17489.68	14402.73	20751.69	18840.37	13340.26	14770.87	12844.56
ENSMUSG00000037708	44.59	43.29	34.98	100.26	62.74	39.39	59.39	59.45
ENSMUSG00000037709	886.61	1496.66	1118.06	1547.35	1369.11	1140.85	1184.72	1118.77
ENSMUSG00000037710	1805.36	2477.92	1905.11	2760.54	2508.54	1877.59	2070.05	1777.96
ENSMUSG00000037712	3646.23	4412.24	3801.56	5512.02	4984.09	3942.15	4196.55	3330.44
ENSMUSG00000037716	69.16	54.78	93.51	69.95	54.34	67.68	88.57	55.54
ENSMUSG00000037720	4926.00	5948.29	5091.47	7075.62	7705.61	5111.60	5795.71	4354.98
ENSMUSG00000037722	706.10	702.47	470.19	737.15	947.76	597.48	667.58	549.67
ENSMUSG00000037725	35.84	52.01	56.59	90.41	42.86	41.29	61.59	45.25
ENSMUSG00000037727	2.92	0.94	3.03	5.17	3.04	3.75	3.01	7.40
ENSMUSG00000037730	1059.41	1535.61	1292.66	1802.04	1672.64	1307.63	1411.21	1209.95
ENSMUSG00000037731	35.05	57.98	42.78	53.29	63.40	45.97	43.67	43.82
ENSMUSG00000037735	454.34	544.08	434.50	577.38	580.20	471.49	486.41	402.88
ENSMUSG00000037736	8191.66	13160.16	10069.45	13529.39	11853.50	9825.95	10574.65	9429.84
ENSMUSG00000037737	34.24	61.08	25.41	57.65	29.53	18.50	26.83	31.30
ENSMUSG00000037738	106.52	64.78	43.99	145.51	265.65	69.26	93.22	53.66
ENSMUSG00000037740	2038.45	2631.76	2022.89	2864.56	2615.32	1856.69	2240.82	1765.81
ENSMUSG00000037742	111532.29	143656.54	116693.95	169361.52	153058.98	112877.66	127115.72	102129.87
ENSMUSG00000037747	3142.48	4688.75	3629.56	5106.46	4291.37	3300.76	3655.58	3283.39
ENSMUSG00000037750	871.60	1355.92	1066.22	1515.65	1413.75	1099.69	1323.56	1041.72
ENSMUSG00000037752	165.83	260.21	236.12	223.18	173.67	157.62	203.40	103.69
ENSMUSG00000037754	11909.45	16699.88	13991.76	18134.41	16813.46	12977.80	13960.55	12354.04
ENSMUSG00000037759	24.87	16.98	8.13	24.88	15.20	4.67	10.05	11.12
ENSMUSG00000037761	312.43	355.47	299.48	409.10	389.45	314.44	317.71	263.16
ENSMUSG00000037762	171.88	117.33	127.90	218.14	602.00	159.01	169.47	160.37
ENSMUSG00000037771	1231.23	1420.22	1011.36	1659.48	1205.54	1181.17	1546.36	971.41
ENSMUSG00000037772	173.68	189.34	184.52	221.25	205.32	220.37	218.20	72.47
ENSMUSG00000037773	827.49	1199.68	1112.91	1292.42	945.42	927.42	1079.20	817.60
ENSMUSG00000037780	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037784	879.92	984.27	815.61	1370.26	1406.58	766.19	1133.37	650.79
ENSMUSG00000037787	769.14	931.73	789.57	1075.11	784.06	608.24	752.81	646.14
ENSMUSG00000037788	3206.00	4325.48	3166.56	4588.25	4352.56	3326.71	4036.04	2886.38
ENSMUSG00000037790	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037791	1126.41	1726.53	1265.92	1602.70	1441.94	1137.20	1607.34	984.15
ENSMUSG00000037795	770.76	654.64	595.24	882.29	814.98	695.20	769.62	576.57
ENSMUSG00000037797	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037798	4.50	35.11	8.22	20.24	4.88	2.31	8.01	1.58
ENSMUSG00000037801	40.13	37.28	34.07	57.03	41.97	52.37	38.77	45.25
ENSMUSG00000037805	3522.52	4378.18	4227.70	5921.86	4845.56	3842.13	4369.71	3223.67
ENSMUSG00000037808	969.58	1189.12	966.06	1249.42	1168.26	929.89	1039.43	717.67
ENSMUSG00000037813	265.00	278.41	239.67	373.06	276.26	217.24	260.14	174.22
ENSMUSG00000037815	4224.55	5130.61	3988.51	5758.52	6608.01	4036.78	4347.85	3596.35
ENSMUSG00000037816	259.60	531.25	333.78	550.38	391.31	336.48	309.23	336.85
ENSMUSG00000037818	997.91	1257.16	924.85	1202.75	1200.81	876.92	1022.25	835.66
ENSMUSG00000037820	662.01	708.50	664.78	963.02	1002.04	640.14	808.86	718.87
ENSMUSG00000037822	4261.74	5704.24	4214.04	6726.72	6213.41	4395.74	5111.47	4424.98
ENSMUSG00000037824	997.64	1365.66	1070.46	1542.13	1280.64	1044.12	1214.60	915.36
ENSMUSG00000037826	6896.93	8610.11	6556.85	9735.84	8558.36	6822.83	7741.52	6190.33
ENSMUSG00000037827	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000037833	69.36	101.35	71.94	76.64	79.26	69.35	76.77	43.92
ENSMUSG00000037843	611.57	848.62	580.87	868.08	759.84	562.66	635.21	573.01
ENSMUSG00000037845	406.99	434.62	348.84	500.37	320.49	312.62	305.02	275.48
ENSMUSG00000037846	179.26	301.78	260.50	390.20	304.44	210.41	205.00	223.85
ENSMUSG00000037847	257.49	320.69	256.97	414.12	361.80	285.90	290.69	282.92
ENSMUSG00000037849	1.91	0.00	3.11	0.97	7.26	1.96	0.00	2.97
ENSMUSG00000037851	2228.23	3315.02	2360.59	3245.30	3847.41	2802.35	3013.08	1937.21
ENSMUSG00000037852	77670.27	104246.65	80375.65	113009.85	108612.08	72207.36	88358.10	77667.90
